Station Name,LID,Modes of Transports
"InnovationsCampus Ost, Saarbrücken Burbach","A=1@O=InnovationsCampus Ost, Saarbrücken Burbach@X=6937740@Y=49244733@U=80@L=12222@",128
"Willerbach, Gersweiler Saarbrücken","A=1@O=Willerbach, Gersweiler Saarbrücken@X=6940922@Y=49236526@U=80@L=11407@",1152
"Lindenhof, Saarbrücken Burbach","A=1@O=Lindenhof, Saarbrücken Burbach@X=6940922@Y=49248778@U=80@L=12209@",1152
"Kirche, Saarbrücken Burbach","A=1@O=Kirche, Saarbrücken Burbach@X=6941992@Y=49242126@U=80@L=12205@",1160
"Rue de Metz, Stiring-Wendel (F)","A=1@O=Rue de Metz, Stiring-Wendel (F)@X=6942540@Y=49201118@U=80@L=19706@",128
"Im Malhofen, Saarbrücken Burbach","A=1@O=Im Malhofen, Saarbrücken Burbach@X=6942729@Y=49244985@U=80@L=12216@",1152
Burbach Mitte,A=1@O=Burbach Mitte@X=6944931@Y=49243610@U=80@L=8001302@,8
"Burbacher Markt, Saarbrücken Burbach","A=1@O=Burbacher Markt, Saarbrücken Burbach@X=6945812@Y=49240931@U=80@L=12201@",1152
"Langfuhrstr., Saarbrücken Burbach","A=1@O=Langfuhrstr., Saarbrücken Burbach@X=6948383@Y=49246774@U=80@L=12208@",1152
"An der Grüneich, Saarbrücken Burbach","A=1@O=An der Grüneich, Saarbrücken Burbach@X=6948509@Y=49244446@U=80@L=12203@",1152
"Brunnenstr., Saarbrücken Burbach","A=1@O=Brunnenstr., Saarbrücken Burbach@X=6949489@Y=49241219@U=80@L=12204@",1152
"Weyersberg, Saarbrücken Burbach","A=1@O=Weyersberg, Saarbrücken Burbach@X=6949543@Y=49242396@U=80@L=12215@",1152
"Mühlhauser Str., Saarbrücken Burbach","A=1@O=Mühlhauser Str., Saarbrücken Burbach@X=6951988@Y=49243987@U=80@L=12210@",1152
"Herz-Jesu-Kirche, Saarbrücken Burbach","A=1@O=Herz-Jesu-Kirche, Saarbrücken Burbach@X=6952158@Y=49246792@U=80@L=12217@",1152
"Moselstr., Saarbrücken Malstatt","A=1@O=Moselstr., Saarbrücken Malstatt@X=6954145@Y=49252680@U=80@L=10508@",1024
"Habsterdick, Saarbrücken","A=1@O=Habsterdick, Saarbrücken@X=6954585@Y=49212399@U=80@L=10026@",128
"Brême d'Or, Stiring-Wendel (F)","A=1@O=Brême d'Or, Stiring-Wendel (F)@X=6954972@Y=49204102@U=80@L=19708@",128
"Waldfriedhof, Saarbrücken Burbach","A=1@O=Waldfriedhof, Saarbrücken Burbach@X=6955008@Y=49248994@U=80@L=10515@",1152
"Bahnhof, Saarbrücken Burbach","A=1@O=Bahnhof, Saarbrücken Burbach@X=6955880@Y=49241515@U=80@L=12200@",1160
Saarbrücken-Burbach,A=1@O=Saarbrücken-Burbach@X=6956033@Y=49242279@U=80@L=8005243@,8
"Folsterweg, Saarbrücken","A=1@O=Folsterweg, Saarbrücken@X=6956707@Y=49219932@U=80@L=10023@",128
"Weißenburger Str., Saarbrücken Burbach","A=1@O=Weißenburger Str., Saarbrücken Burbach@X=6957201@Y=49242980@U=80@L=12214@",1152
"Neumagener Weg, Saarbrücken Malstatt","A=1@O=Neumagener Weg, Saarbrücken Malstatt@X=6957938@Y=49252086@U=80@L=10509@",1024
"Hauptfriedhof Nordeingang, Saarbrücken","A=1@O=Hauptfriedhof Nordeingang, Saarbrücken@X=6958280@Y=49209388@U=80@L=10038@",128
"Westpark, Saarbrücken Burbach","A=1@O=Westpark, Saarbrücken Burbach@X=6958451@Y=49238000@U=80@L=10213@",128
"Goldene Bremm, Saarbrücken","A=1@O=Goldene Bremm, Saarbrücken@X=6958640@Y=49205334@U=80@L=10025@",640
"Rastbachtal Schule, Saarbrücken Burbach","A=1@O=Rastbachtal Schule, Saarbrücken Burbach@X=6958864@Y=49246486@U=80@L=10510@",1024
"Caritas Klinik, Saarbrücken Malstatt","A=1@O=Caritas Klinik, Saarbrücken Malstatt@X=6959566@Y=49247520@U=80@L=10512@",1152
"Siedlerheim, Saarbrücken Malstatt","A=1@O=Siedlerheim, Saarbrücken Malstatt@X=6960455@Y=49255547@U=80@L=10518@",1216
"Hochstr., Saarbrücken Malstatt","A=1@O=Hochstr., Saarbrücken Malstatt@X=6960743@Y=49241201@U=80@L=10207@",1152
